branch_id,branch_name,city,landlord,yearly_rent,agreement_start,expiry_date,duration_years,file_path
139,Branch-139,Karachi,Angela Allen,4610693,2024-11-24,2028-11-23,4,data/rentals/rental_agreement_139.pdf
140,Branch-140,Faisalabad,Meghan Potts,1569116,2024-02-04,2025-02-03,1,data/rentals/rental_agreement_140.pdf
141,Branch-141,Faisalabad,Meagan King,2865141,2023-10-19,2024-10-18,1,data/rentals/rental_agreement_141.pdf
142,Branch-142,Islamabad,Morgan Cox,1111609,2023-05-07,2024-05-06,1,data/rentals/rental_agreement_142.pdf
143,Branch-143,Islamabad,Scott Pineda,937629,2023-11-20,2024-11-19,1,data/rentals/rental_agreement_143.pdf
144,Branch-144,Karachi,Brandon Brown,2862236,2021-01-28,2026-01-27,5,data/rentals/rental_agreement_144.pdf
145,Branch-145,Karachi,John Huff,3866616,2022-05-23,2025-05-22,3,data/rentals/rental_agreement_145.pdf
146,Branch-146,Faisalabad,Tara Conrad,4125253,2021-01-22,2026-01-21,5,data/rentals/rental_agreement_146.pdf
147,Branch-147,Karachi,Phillip Freeman,1615108,2024-08-08,2027-08-08,3,data/rentals/rental_agreement_147.pdf
148,Branch-148,Islamabad,Amanda Stewart,1866471,2024-08-22,2028-08-21,4,data/rentals/rental_agreement_148.pdf
149,Branch-149,Karachi,Daniel Roberts,2965674,2024-03-10,2026-03-10,2,data/rentals/rental_agreement_149.pdf
150,Branch-150,Karachi,Michael Jones,1779557,2024-01-04,2028-01-03,4,data/rentals/rental_agreement_150.pdf
151,Branch-151,Karachi,Leslie Williams,1029911,2021-05-24,2022-05-24,1,data/rentals/rental_agreement_151.pdf
152,Branch-152,Multan,Ashley Jenkins,1588968,2025-01-03,2028-01-03,3,data/rentals/rental_agreement_152.pdf
153,Branch-153,Karachi,Luke Lee,4848740,2024-04-04,2026-04-04,2,data/rentals/rental_agreement_153.pdf
154,Branch-154,Peshawar,Christopher Bradley,1199634,2022-08-02,2024-08-01,2,data/rentals/rental_agreement_154.pdf
155,Branch-155,Quetta,Edward Martinez,3662124,2024-12-11,2027-12-11,3,data/rentals/rental_agreement_155.pdf
156,Branch-156,Faisalabad,Erica Long,1357113,2023-08-15,2027-08-14,4,data/rentals/rental_agreement_156.pdf
157,Branch-157,Islamabad,Cody Ellis,4681852,2021-04-08,2026-04-07,5,data/rentals/rental_agreement_157.pdf
158,Branch-158,Islamabad,Heidi Wilkins,2417005,2023-01-05,2028-01-04,5,data/rentals/rental_agreement_158.pdf
159,Branch-159,Karachi,Rachel Evans,3370024,2023-07-05,2024-07-04,1,data/rentals/rental_agreement_159.pdf
160,Branch-160,Lahore,Steven Bailey,3509055,2022-07-14,2027-07-13,5,data/rentals/rental_agreement_160.pdf
161,Branch-161,Quetta,Dr. Gloria Herrera MD,3246614,2023-03-12,2024-03-11,1,data/rentals/rental_agreement_161.pdf
162,Branch-162,Lahore,Vincent Cox,2040007,2023-03-06,2027-03-05,4,data/rentals/rental_agreement_162.pdf
163,Branch-163,Faisalabad,Linda Walker,3357449,2022-09-14,2024-09-13,2,data/rentals/rental_agreement_163.pdf
164,Branch-164,Multan,Timothy Juarez,3698248,2023-09-10,2025-09-09,2,data/rentals/rental_agreement_164.pdf
165,Branch-165,Peshawar,Lauren Romero,1094540,2021-01-26,2023-01-26,2,data/rentals/rental_agreement_165.pdf
166,Branch-166,Karachi,Chris Ortiz,3484951,2024-05-28,2026-05-28,2,data/rentals/rental_agreement_166.pdf
167,Branch-167,Lahore,Kristin Green,2829215,2023-11-17,2028-11-15,5,data/rentals/rental_agreement_167.pdf
168,Branch-168,Faisalabad,Karl Henderson,4495299,2024-07-18,2027-07-18,3,data/rentals/rental_agreement_168.pdf
169,Branch-169,Faisalabad,Christina Valdez,2691923,2020-09-22,2025-09-21,5,data/rentals/rental_agreement_169.pdf
170,Branch-170,Islamabad,Jessica Davenport,2713610,2023-12-02,2024-12-01,1,data/rentals/rental_agreement_170.pdf
171,Branch-171,Peshawar,Joseph Kidd,965546,2025-08-08,2030-08-07,5,data/rentals/rental_agreement_171.pdf
172,Branch-172,Faisalabad,Cheryl Buckley,1879292,2022-10-12,2026-10-11,4,data/rentals/rental_agreement_172.pdf
173,Branch-173,Islamabad,Lisa White,3554331,2022-09-14,2027-09-13,5,data/rentals/rental_agreement_173.pdf
174,Branch-174,Karachi,Philip Wilson,4440010,2021-12-29,2024-12-28,3,data/rentals/rental_agreement_174.pdf
175,Branch-175,Faisalabad,Martin Johnson,2571660,2023-06-17,2025-06-16,2,data/rentals/rental_agreement_175.pdf
176,Branch-176,Multan,Janet Roberts,3161501,2022-06-11,2025-06-10,3,data/rentals/rental_agreement_176.pdf
177,Branch-177,Quetta,Evan Jones,1296527,2021-01-24,2023-01-24,2,data/rentals/rental_agreement_177.pdf
178,Branch-178,Islamabad,Martha Douglas,3186117,2024-10-03,2028-10-02,4,data/rentals/rental_agreement_178.pdf
179,Branch-179,Quetta,Bryan Thompson,671367,2023-10-18,2024-10-17,1,data/rentals/rental_agreement_179.pdf
180,Branch-180,Multan,David Brown MD,2483164,2024-03-08,2026-03-08,2,data/rentals/rental_agreement_180.pdf
181,Branch-181,Quetta,Danny Whitehead,1423131,2025-02-03,2026-02-03,1,data/rentals/rental_agreement_181.pdf
182,Branch-182,Karachi,Stephen Moyer,3308046,2024-07-07,2028-07-06,4,data/rentals/rental_agreement_182.pdf
183,Branch-183,Peshawar,Amanda Ramsey,4659305,2021-04-06,2023-04-06,2,data/rentals/rental_agreement_183.pdf
184,Branch-184,Multan,Jacob Brady,4620305,2024-12-06,2026-12-06,2,data/rentals/rental_agreement_184.pdf
185,Branch-185,Quetta,Maria Martin,1937904,2025-05-30,2027-05-30,2,data/rentals/rental_agreement_185.pdf
186,Branch-186,Multan,Rebecca Simmons,1295306,2025-09-08,2026-09-08,1,data/rentals/rental_agreement_186.pdf
187,Branch-187,Faisalabad,Thomas Contreras,4851643,2025-01-26,2026-01-26,1,data/rentals/rental_agreement_187.pdf
188,Branch-188,Islamabad,Michael Randall,1619219,2025-01-09,2027-01-09,2,data/rentals/rental_agreement_188.pdf
189,Branch-189,Faisalabad,Alfred Rodriguez,2240960,2024-11-17,2026-11-17,2,data/rentals/rental_agreement_189.pdf
190,Branch-190,Quetta,Joseph Long,2306158,2022-09-15,2027-09-14,5,data/rentals/rental_agreement_190.pdf
191,Branch-191,Quetta,John Williams,3007093,2021-08-17,2022-08-17,1,data/rentals/rental_agreement_191.pdf
192,Branch-192,Quetta,Monica Mcclure,923144,2021-11-30,2023-11-30,2,data/rentals/rental_agreement_192.pdf
193,Branch-193,Faisalabad,Dustin Hill,4734751,2024-01-05,2027-01-04,3,data/rentals/rental_agreement_193.pdf
194,Branch-194,Multan,Stephen Barrett,4342983,2024-09-12,2026-09-12,2,data/rentals/rental_agreement_194.pdf
195,Branch-195,Quetta,Nathan Robertson DDS,3000309,2021-10-14,2024-10-13,3,data/rentals/rental_agreement_195.pdf
196,Branch-196,Lahore,Derrick Gonzalez,1987254,2025-02-01,2028-02-01,3,data/rentals/rental_agreement_196.pdf
197,Branch-197,Peshawar,Albert James,3646118,2024-12-05,2026-12-05,2,data/rentals/rental_agreement_197.pdf
198,Branch-198,Multan,Anthony Wilson,4840208,2020-10-16,2021-10-16,1,data/rentals/rental_agreement_198.pdf
199,Branch-199,Quetta,Jennifer Atkinson,799900,2024-07-15,2026-07-15,2,data/rentals/rental_agreement_199.pdf
200,Branch-200,Islamabad,Jennifer Johnson,3594815,2023-11-10,2026-11-09,3,data/rentals/rental_agreement_200.pdf
201,Branch-201,Quetta,Robert Davis,886622,2022-07-02,2025-07-01,3,data/rentals/rental_agreement_201.pdf
202,Branch-202,Lahore,Bridget Simon,4770773,2023-12-03,2026-12-02,3,data/rentals/rental_agreement_202.pdf
203,Branch-203,Karachi,David Clark,1453808,2023-01-24,2027-01-23,4,data/rentals/rental_agreement_203.pdf
204,Branch-204,Islamabad,Steven Bender,4365724,2023-09-08,2027-09-07,4,data/rentals/rental_agreement_204.pdf
205,Branch-205,Faisalabad,Ronnie Bishop,3492999,2025-04-10,2026-04-10,1,data/rentals/rental_agreement_205.pdf
206,Branch-206,Islamabad,Brittany Khan,2233370,2024-05-11,2026-05-11,2,data/rentals/rental_agreement_206.pdf
207,Branch-207,Lahore,John Kelley,3324514,2020-11-25,2025-11-24,5,data/rentals/rental_agreement_207.pdf
208,Branch-208,Karachi,James Garcia,638036,2023-08-18,2025-08-17,2,data/rentals/rental_agreement_208.pdf
209,Branch-209,Islamabad,Sarah Mcmahon,1812229,2021-03-03,2026-03-02,5,data/rentals/rental_agreement_209.pdf
210,Branch-210,Multan,Aaron Ramirez,1142532,2024-04-09,2025-04-09,1,data/rentals/rental_agreement_210.pdf
211,Branch-211,Faisalabad,Patricia Wallace,1118876,2021-12-07,2025-12-06,4,data/rentals/rental_agreement_211.pdf
212,Branch-212,Peshawar,Angie Guerra,760369,2024-10-08,2028-10-07,4,data/rentals/rental_agreement_212.pdf
213,Branch-213,Peshawar,Derrick Bauer,1532315,2023-05-17,2024-05-16,1,data/rentals/rental_agreement_213.pdf
214,Branch-214,Faisalabad,Lisa Jackson,2272172,2023-09-14,2028-09-12,5,data/rentals/rental_agreement_214.pdf
215,Branch-215,Peshawar,Sarah Brown,4322362,2023-10-04,2027-10-03,4,data/rentals/rental_agreement_215.pdf
216,Branch-216,Lahore,David Blankenship,1584563,2023-12-15,2028-12-13,5,data/rentals/rental_agreement_216.pdf
217,Branch-217,Islamabad,Tammy Maldonado,2529337,2023-06-01,2027-05-31,4,data/rentals/rental_agreement_217.pdf
218,Branch-218,Peshawar,Cheryl Lopez,824101,2023-04-27,2025-04-26,2,data/rentals/rental_agreement_218.pdf
219,Branch-219,Quetta,Rebecca Medina,1894474,2023-04-15,2028-04-13,5,data/rentals/rental_agreement_219.pdf
220,Branch-220,Islamabad,Julie Rose,4115777,2022-02-17,2024-02-17,2,data/rentals/rental_agreement_220.pdf
221,Branch-221,Lahore,Danielle Daugherty,3369480,2022-04-26,2023-04-26,1,data/rentals/rental_agreement_221.pdf
222,Branch-222,Faisalabad,Gail Newton,3224989,2022-09-30,2026-09-29,4,data/rentals/rental_agreement_222.pdf
223,Branch-223,Islamabad,Dustin Carter,3805938,2023-02-14,2026-02-13,3,data/rentals/rental_agreement_223.pdf
224,Branch-224,Karachi,Christina Suarez PhD,3147737,2021-05-22,2024-05-21,3,data/rentals/rental_agreement_224.pdf
225,Branch-225,Lahore,Cheryl Hanson,1892734,2020-12-24,2023-12-24,3,data/rentals/rental_agreement_225.pdf
226,Branch-226,Faisalabad,Jessica Santiago,1643849,2025-01-18,2027-01-18,2,data/rentals/rental_agreement_226.pdf
227,Branch-227,Faisalabad,James Johnson,2355937,2024-04-22,2026-04-22,2,data/rentals/rental_agreement_227.pdf
228,Branch-228,Peshawar,Charles Scott,2803439,2023-11-14,2025-11-13,2,data/rentals/rental_agreement_228.pdf
